aasqa,date_maj,code_no2,code_o3,code_pm10,code_pm25,code_qual,code_so2,code_zone,coul_qual,date_dif,date_ech,epsg_reg,lib_qual,lib_zone,source,type_zone,x_reg,x_wgs84,y_reg,y_wgs84,gml_id2
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73109,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Épierre,Atmo Auvergne-Rhône-Alpes,commune,957471.7,6.29506506435256,6489178.9,45.4536963393522,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73110,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Esserts-Blay,Atmo Auvergne-Rhône-Alpes,commune,967614.1,6.43486071099716,6507432.8,45.6140273671271,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73113,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Feissons-sur-Salins,Atmo Auvergne-Rhône-Alpes,commune,978082.8,6.56011757577603,6491988.8,45.4709208613987,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73114,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Flumet,Atmo Auvergne-Rhône-Alpes,commune,972945.7,6.51637089087997,6530485.4,45.8192991669961,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73116,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Fontcouverte,Atmo Auvergne-Rhône-Alpes,commune,959019.0,6.30255822716295,6466212.6,45.2464957991717,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73117,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Fourneaux,Atmo Auvergne-Rhône-Alpes,commune,986654.7,6.65157463580623,6461345.99999999,45.1917642359121,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73119,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Freney,Atmo Auvergne-Rhône-Alpes,commune,984736.3,6.62728217042547,6461535.4,45.1942636868057,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73120,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Fréterive,Atmo Auvergne-Rhône-Alpes,commune,950080.3,6.20794932478088,6503366.4,45.5840820089766,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73121,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Frontenex,Atmo Auvergne-Rhône-Alpes,commune,958071.8,6.31348716667166,6509210.2,45.6336885226177,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73122,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Gerbaix,Atmo Auvergne-Rhône-Alpes,commune,913862.1,5.74437109799968,6504738.7,45.6087200311187,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73123,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,La Giettaz,Atmo Auvergne-Rhône-Alpes,commune,971106.1,6.49536153294392,6535151.5,45.8620108427184,
84,2026-04-01T15:31:01.698+02:00,2,2,1,1,2,1,73124,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Gilly-sur-Isère,Atmo Auvergne-Rhône-Alpes,commune,960716.4,6.34902258845,6512188.4,45.6594784282562,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73128,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Grésy-sur-Aix,Atmo Auvergne-Rhône-Alpes,commune,928081.3,5.93295013528399,6517908.3,45.7226314207536,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73129,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Grésy-sur-Isère,Atmo Auvergne-Rhône-Alpes,commune,953633.4,6.25457559529946,6505447.1,45.6014936325601,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73130,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Grignon,Atmo Auvergne-Rhône-Alpes,commune,962628.5,6.37287806710994,6510954.6,45.6476456962754,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73131,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,le Chef-Lieu,Atmo Auvergne-Rhône-Alpes,commune,976879.2,6.54705540731346,6496036.1,45.5078160929234,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73132,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Hauteluce,Atmo Auvergne-Rhône-Alpes,commune,978674.0,6.58576025646531,6523116.5,45.7506910983326,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73133,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Hauteville,Atmo Auvergne-Rhône-Alpes,commune,947608.7,6.17311520567011,6497225.99999999,45.5297335088266,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73135,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Hermillon,Atmo Auvergne-Rhône-Alpes,commune,963444.1,6.362138588043,6472159.8,45.2983176559357,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73137,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Jacob-Bellecombette,Atmo Auvergne-Rhône-Alpes,commune,927250.8,5.91345373517567,6499296.6,45.5554283233789,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73138,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Jarrier,Atmo Auvergne-Rhône-Alpes,commune,959977.9,6.31675116877565,6469913.8,45.2794315078094,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73139,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Jarsy,Atmo Auvergne-Rhône-Alpes,commune,947304.0,6.17657889591027,6511518.3,45.6584386120669,
